interval_begin,interval_end,edge_id,traveltime
0,60,103,17.61
0,60,114,23.47
0,60,12,22.33
0,60,23,33.59
0,60,26,11.78
0,60,29,10.64
0,60,310,10.81
0,60,32,32.46
0,60,37,11.58
0,60,411,11.16
0,60,43,23.58
0,60,48,11.62
0,60,54,18.5
0,60,62,20.31
0,60,73,19.31
0,60,84,25.48
0,60,92,17.87
60,120,103,23.52
60,120,114,22.62
60,120,12,43.67
60,120,21,10.74
60,120,23,19.43
60,120,26,10.85
60,120,29,9.91
60,120,310,9.88
60,120,32,15.99
60,120,34,12.33
60,120,37,11.29
60,120,411,9.98
60,120,43,17.86
60,120,45,10.0
60,120,48,10.99
60,120,54,41.21
60,120,62,21.72
60,120,73,21.18
60,120,84,26.09
60,120,92,24.31
120,180,103,18.23
120,180,114,25.78
120,180,12,52.2
120,180,21,10.93
120,180,23,147.52
120,180,26,11.75
120,180,29,10.68
120,180,310,10.45
120,180,32,128.21
120,180,34,33.64
120,180,37,11.51
120,180,411,10.98
120,180,43,101.18
120,180,45,11.28
120,180,48,12.63
120,180,54,36.73
120,180,62,17.07
120,180,73,17.33
120,180,84,27.88
120,180,92,18.03
180,240,103,29.79
180,240,114,37.49
180,240,12,29.18
180,240,21,11.42
180,240,23,23.58
180,240,26,11.79
180,240,29,10.18
180,240,310,11.09
180,240,32,26.1
180,240,34,16.32
180,240,37,12.36
180,240,411,11.01
180,240,43,17.9
180,240,45,10.91
180,240,48,11.06
180,240,54,21.11
180,240,62,26.87
180,240,73,25.84
180,240,84,34.57
180,240,92,29.49
240,300,103,21.09
240,300,114,20.77
240,300,12,46.23
240,300,21,12.28
240,300,23,24.42
240,300,26,9.61
240,300,29,10.06
240,300,310,9.96
240,300,32,39.81
240,300,34,18.16
240,300,37,11.62
240,300,411,11.42
240,300,43,22.77
240,300,45,9.33
240,300,48,11.25
240,300,54,37.27
240,300,62,24.46
240,300,73,23.94
240,300,84,23.05
240,300,92,21.71
300,360,103,16.51
300,360,114,23.67
300,360,12,58.69
300,360,21,11.71
300,360,23,148.81
300,360,26,11.21
300,360,29,11.01
300,360,310,11.34
300,360,32,134.2
300,360,34,22.47
300,360,37,11.31
300,360,411,10.54
300,360,43,101.0
300,360,45,10.42
300,360,48,11.36
300,360,54,42.12
300,360,62,18.21
300,360,73,18.2
300,360,84,25.98
300,360,92,16.75
360,420,103,25.41
360,420,114,34.51
360,420,12,26.93
360,420,21,11.71
360,420,23,21.28
360,420,26,11.64
360,420,29,10.71
360,420,310,9.84
360,420,32,25.87
360,420,34,15.89
360,420,37,12.59
360,420,411,11.07
360,420,43,17.76
360,420,45,10.72
360,420,48,10.91
360,420,54,22.71
360,420,62,29.45
360,420,73,29.31
360,420,84,37.85
360,420,92,26.91
420,480,103,24.33
420,480,114,22.57
420,480,12,43.53
420,480,21,11.8
420,480,23,25.67
420,480,26,10.61
420,480,29,9.96
420,480,310,9.84
420,480,32,34.98
420,480,34,20.86
420,480,37,12.12
420,480,411,10.74
420,480,43,22.8
420,480,45,10.89
420,480,48,11.11
420,480,54,39.43
420,480,62,21.87
420,480,73,21.09
420,480,84,26.06
420,480,92,24.01
480,540,103,22.0
480,540,114,38.94
480,540,12,68.47
480,540,21,12.53
480,540,23,160.71
480,540,26,11.12
480,540,29,9.93
480,540,310,10.56
480,540,32,119.83
480,540,34,34.27
480,540,37,11.69
480,540,411,11.71
480,540,43,99.96
480,540,45,11.21
480,540,48,12.71
480,540,54,39.58
480,540,62,19.47
480,540,73,20.26
480,540,84,37.23
480,540,92,22.2
540,600,12,58.21
540,600,21,12.36
540,600,23,12.66
540,600,32,19.99
540,600,34,11.29
540,600,43,19.3
540,600,45,9.99
540,600,54,57.62
600,660,21,13.14
600,660,32,4249.14
