edge_id,average_traveltime,speed,length,ff_tt
12,38.538275,13.89,141.75,10.205183585313174
23,24.0940375,13.89,138.92,10.001439884809214
32,29.02685,13.89,138.92,10.001439884809214
34,29.419425,13.89,138.08,9.940964722822175
43,24.226999999999997,13.89,138.08,9.940964722822175
54,36.810612500000005,13.89,126.24,9.088552915766737
62,29.673514285714287,13.89,140.67,10.127429805615549
73,29.832042857142856,13.89,143.95,10.363570914326852
84,29.98747142857143,13.89,143.39,10.323254139668824
92,30.054542857142856,13.89,132.51,9.539956803455722
103,29.81557142857143,13.89,131.67,9.47948164146868
114,29.605457142857144,13.89,133.32,9.59827213822894
